Домашняя команда,Гостевая команда,Дата,Стадион,Город,home_score,guest_score
Кристал,Пэлас,05.08.2022,Селхерст Парк,Лондон,0,2
Фулхэм,Ливерпуль,06.08.2022,Крэйвен Коттедж,Лондон,2,2
Борнмут,Астон,06.08.2022,Виталити - Дин Корт,Борнмут,2,0
Лидс,Юнайтед,06.08.2022,Элланд Роуд,Лидс,2,1
Ньюкасл,Юнайтед,06.08.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,2,0
Тоттенхэм,Хотспур,06.08.2022,Тоттенхэм Хотспур,Лондон,4,1
Эвертон,Челси,06.08.2022,Гудисон Парк,Ливерпуль,0,1
Лестер,Сити,07.08.2022,Кинг Пауэр,Лестер,2,2
Манчестер,Юнайтед,07.08.2022,Олд Траффорд,Манчестер,1,2
Вест,Хэм,07.08.2022,Олимпийский,Лондон,0,2
Астон,Вилла,13.08.2022,Вилла Парк,Бирмингем,2,1
Арсенал,Лестер,13.08.2022,Эмирейтс - Эшбертон Гроув,Лондон,4,2
Брайтон,Хоув,13.08.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,0,0
Манчестер,Сити,13.08.2022,Этихад (Сити оф Манчестер),Манчестер,4,0
Саутгемптон,Лидс,13.08.2022,Сент-Мэри,Саутгемптон,2,2
Вулверхэмптон,Фулхэм,13.08.2022,Молине,Вулверхэмптон,0,0
Брентфорд,Манчестер,13.08.2022,Брентфорд Коммьюнити,Брентфорд,4,0
Ноттингем,Форест,14.08.2022,Сити Граунд,Ноттингем,1,0
Челси,Тоттенхэм,14.08.2022,Стэмфорд Бридж,Лондон,2,2
Ливерпуль,Кристал,15.08.2022,Энфилд,Ливерпуль,1,1
Тоттенхэм,Хотспур,20.08.2022,Тоттенхэм Хотспур,Лондон,1,0
Кристал,Пэлас,20.08.2022,Селхерст Парк,Лондон,3,1
Эвертон,Ноттингем,20.08.2022,Гудисон Парк,Ливерпуль,1,1
Фулхэм,Брентфорд,20.08.2022,Крэйвен Коттедж,Лондон,3,2
Лестер,Сити,20.08.2022,Кинг Пауэр,Лестер,1,2
Борнмут,Арсенал,20.08.2022,Виталити - Дин Корт,Борнмут,0,3
Лидс,Юнайтед,21.08.2022,Элланд Роуд,Лидс,3,0
Вест,Хэм,21.08.2022,Олимпийский,Лондон,0,2
Ньюкасл,Юнайтед,21.08.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,3,3
Манчестер,Юнайтед,22.08.2022,Олд Траффорд,Манчестер,2,1
Саутгемптон,Манчестер,27.08.2022,Сент-Мэри,Саутгемптон,0,1
Брентфорд,Эвертон,27.08.2022,Брентфорд Коммьюнити,Брентфорд,1,1
Брайтон,Хоув,27.08.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,1,0
Челси,Лестер,27.08.2022,Стэмфорд Бридж,Лондон,2,1
Ливерпуль,Борнмут,27.08.2022,Энфилд,Ливерпуль,9,0
Манчестер,Сити,27.08.2022,Этихад (Сити оф Манчестер),Манчестер,4,2
Арсенал,Фулхэм,27.08.2022,Эмирейтс - Эшбертон Гроув,Лондон,2,1
Астон,Вилла,28.08.2022,Вилла Парк,Бирмингем,0,1
Вулверхэмптон,Ньюкасл,28.08.2022,Молине,Вулверхэмптон,1,1
Ноттингем,Форест,28.08.2022,Сити Граунд,Ноттингем,0,2
Фулхэм,Брайтон,30.08.2022,Крэйвен Коттедж,Лондон,2,1
Кристал,Пэлас,30.08.2022,Селхерст Парк,Лондон,1,1
Саутгемптон,Челси,30.08.2022,Сент-Мэри,Саутгемптон,2,1
Лидс,Юнайтед,30.08.2022,Элланд Роуд,Лидс,1,1
Борнмут,Вулверхэмптон,31.08.2022,Виталити - Дин Корт,Борнмут,0,0
Арсенал,Астон,31.08.2022,Эмирейтс - Эшбертон Гроув,Лондон,2,1
Манчестер,Сити,31.08.2022,Этихад (Сити оф Манчестер),Манчестер,6,0
Вест,Хэм,31.08.2022,Олимпийский,Лондон,1,1
Ливерпуль,Ньюкасл,31.08.2022,Энфилд,Ливерпуль,2,1
Лестер,Сити,01.09.2022,Кинг Пауэр,Лестер,0,1
Эвертон,Ливерпуль,03.09.2022,Гудисон Парк,Ливерпуль,0,0
Брентфорд,Лидс,03.09.2022,Брентфорд Коммьюнити,Брентфорд,5,2
Челси,Вест,03.09.2022,Стэмфорд Бридж,Лондон,2,1
Ньюкасл,Юнайтед,03.09.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,0,0
Ноттингем,Форест,03.09.2022,Сити Граунд,Ноттингем,2,3
Тоттенхэм,Хотспур,03.09.2022,Тоттенхэм Хотспур,Лондон,2,1
Вулверхэмптон,Саутгемптон,03.09.2022,Молине,Вулверхэмптон,1,0
Астон,Вилла,03.09.2022,Вилла Парк,Бирмингем,1,1
Брайтон,Хоув,04.09.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,5,2
Манчестер,Юнайтед,04.09.2022,Олд Траффорд,Манчестер,3,1
Астон,Вилла,16.09.2022,Вилла Парк,Бирмингем,1,0
Ноттингем,Форест,16.09.2022,Сити Граунд,Ноттингем,2,3
Вулверхэмптон,Манчестер,17.09.2022,Молине,Вулверхэмптон,0,3
Ньюкасл,Юнайтед,17.09.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,1,1
Тоттенхэм,Хотспур,17.09.2022,Тоттенхэм Хотспур,Лондон,6,2
Брентфорд,Арсенал,18.09.2022,Брентфорд Коммьюнити,Брентфорд,0,3
Эвертон,Вест,18.09.2022,Гудисон Парк,Ливерпуль,1,0
Арсенал,Тоттенхэм,01.10.2022,Эмирейтс - Эшбертон Гроув,Лондон,3,1
Борнмут,Брентфорд,01.10.2022,Виталити - Дин Корт,Борнмут,0,0
Кристал,Пэлас,01.10.2022,Селхерст Парк,Лондон,1,2
Фулхэм,Ньюкасл,01.10.2022,Крэйвен Коттедж,Лондон,1,4
Ливерпуль,Брайтон,01.10.2022,Энфилд,Ливерпуль,3,3
Саутгемптон,Эвертон,01.10.2022,Сент-Мэри,Саутгемптон,1,2
Вест,Хэм,01.10.2022,Олимпийский,Лондон,2,0
Манчестер,Сити,02.10.2022,Этихад (Сити оф Манчестер),Манчестер,6,3
Лидс,Юнайтед,02.10.2022,Элланд Роуд,Лидс,0,0
Лестер,Сити,03.10.2022,Кинг Пауэр,Лестер,4,0
Борнмут,Лестер,08.10.2022,Виталити - Дин Корт,Борнмут,2,1
Челси,Вулверхэмптон,08.10.2022,Стэмфорд Бридж,Лондон,3,0
Манчестер,Сити,08.10.2022,Этихад (Сити оф Манчестер),Манчестер,4,0
Ньюкасл,Юнайтед,08.10.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,5,1
Брайтон,Хоув,08.10.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,0,1
Кристал,Пэлас,09.10.2022,Селхерст Парк,Лондон,2,1
Вест,Хэм,09.10.2022,Олимпийский,Лондон,3,1
Арсенал,Ливерпуль,09.10.2022,Эмирейтс - Эшбертон Гроув,Лондон,3,2
Эвертон,Манчестер,09.10.2022,Гудисон Парк,Ливерпуль,1,2
Ноттингем,Форест,10.10.2022,Сити Граунд,Ноттингем,1,1
Брентфорд,Брайтон,14.10.2022,Брентфорд Коммьюнити,Брентфорд,2,0
Лестер,Сити,15.10.2022,Кинг Пауэр,Лестер,0,0
Фулхэм,Борнмут,15.10.2022,Крэйвен Коттедж,Лондон,2,2
Вулверхэмптон,Ноттингем,15.10.2022,Молине,Вулверхэмптон,1,0
Тоттенхэм,Хотспур,15.10.2022,Тоттенхэм Хотспур,Лондон,2,0
Астон,Вилла,16.10.2022,Вилла Парк,Бирмингем,0,2
Лидс,Юнайтед,16.10.2022,Элланд Роуд,Лидс,0,1
Манчестер,Юнайтед,16.10.2022,Олд Траффорд,Манчестер,0,0
Саутгемптон,Вест,16.10.2022,Сент-Мэри,Саутгемптон,1,1
Ливерпуль,Манчестер,16.10.2022,Энфилд,Ливерпуль,1,0
Брайтон,Хоув,18.10.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,0,0
Кристал,Пэлас,18.10.2022,Селхерст Парк,Лондон,2,1
Борнмут,Саутгемптон,19.10.2022,Виталити - Дин Корт,Борнмут,0,1
Брентфорд,Челси,19.10.2022,Брентфорд Коммьюнити,Брентфорд,0,0
Ньюкасл,Юнайтед,19.10.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,1,0
Ливерпуль,Вест,19.10.2022,Энфилд,Ливерпуль,1,0
Манчестер,Юнайтед,19.10.2022,Олд Траффорд,Манчестер,2,0
Фулхэм,Астон,20.10.2022,Крэйвен Коттедж,Лондон,3,0
Лестер,Сити,20.10.2022,Кинг Пауэр,Лестер,2,0
Ноттингем,Форест,22.10.2022,Сити Граунд,Ноттингем,1,0
Эвертон,Кристал,22.10.2022,Гудисон Парк,Ливерпуль,3,0
Манчестер,Сити,22.10.2022,Этихад (Сити оф Манчестер),Манчестер,3,1
Челси,Манчестер,22.10.2022,Стэмфорд Бридж,Лондон,1,1
Астон,Вилла,23.10.2022,Вилла Парк,Бирмингем,4,0
Лидс,Юнайтед,23.10.2022,Элланд Роуд,Лидс,2,3
Саутгемптон,Арсенал,23.10.2022,Сент-Мэри,Саутгемптон,1,1
Вулверхэмптон,Лестер,23.10.2022,Молине,Вулверхэмптон,0,4
Тоттенхэм,Хотспур,23.10.2022,Тоттенхэм Хотспур,Лондон,1,2
Вест,Хэм,24.10.2022,Олимпийский,Лондон,2,0
Лестер,Сити,29.10.2022,Кинг Пауэр,Лестер,0,1
Борнмут,Тоттенхэм,29.10.2022,Виталити - Дин Корт,Борнмут,2,3
Брентфорд,Вулверхэмптон,29.10.2022,Брентфорд Коммьюнити,Брентфорд,1,1
Брайтон,Хоув,29.10.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,4,1
Кристал,Пэлас,29.10.2022,Селхерст Парк,Лондон,1,0
Ньюкасл,Юнайтед,29.10.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,4,0
Фулхэм,Эвертон,29.10.2022,Крэйвен Коттедж,Лондон,0,0
Ливерпуль,Лидс,29.10.2022,Энфилд,Ливерпуль,1,2
Арсенал,Ноттингем,30.10.2022,Эмирейтс - Эшбертон Гроув,Лондон,5,0
Манчестер,Юнайтед,30.10.2022,Олд Траффорд,Манчестер,1,0
Лидс,Юнайтед,05.11.2022,Элланд Роуд,Лидс,4,3
Манчестер,Сити,05.11.2022,Этихад (Сити оф Манчестер),Манчестер,2,1
Ноттингем,Форест,05.11.2022,Сити Граунд,Ноттингем,2,2
Вулверхэмптон,Брайтон,05.11.2022,Молине,Вулверхэмптон,2,3
Эвертон,Лестер,05.11.2022,Гудисон Парк,Ливерпуль,0,2
Челси,Арсенал,06.11.2022,Стэмфорд Бридж,Лондон,0,1
Астон,Вилла,06.11.2022,Вилла Парк,Бирмингем,3,1
Саутгемптон,Ньюкасл,06.11.2022,Сент-Мэри,Саутгемптон,1,4
Вест,Хэм,06.11.2022,Олимпийский,Лондон,1,2
Тоттенхэм,Хотспур,06.11.2022,Тоттенхэм Хотспур,Лондон,1,2
Манчестер,Сити,12.11.2022,Этихад (Сити оф Манчестер),Манчестер,1,2
Борнмут,Эвертон,12.11.2022,Виталити - Дин Корт,Борнмут,3,0
Ливерпуль,Саутгемптон,12.11.2022,Энфилд,Ливерпуль,3,1
Ноттингем,Форест,12.11.2022,Сити Граунд,Ноттингем,1,0
Тоттенхэм,Хотспур,12.11.2022,Тоттенхэм Хотспур,Лондон,4,3
Вест,Хэм,12.11.2022,Олимпийский,Лондон,0,2
Ньюкасл,Юнайтед,12.11.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,1,0
Вулверхэмптон,Арсенал,12.11.2022,Молине,Вулверхэмптон,0,2
Брайтон,Хоув,13.11.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,1,2
Фулхэм,Манчестер,13.11.2022,Крэйвен Коттедж,Лондон,1,2
Брентфорд,Тоттенхэм,26.12.2022,Брентфорд Коммьюнити,Брентфорд,2,2
Кристал,Пэлас,26.12.2022,Селхерст Парк,Лондон,0,3
Эвертон,Вулверхэмптон,26.12.2022,Гудисон Парк,Ливерпуль,1,2
Лестер,Сити,26.12.2022,Кинг Пауэр,Лестер,0,3
Саутгемптон,Брайтон,26.12.2022,Сент-Мэри,Саутгемптон,1,3
Астон,Вилла,26.12.2022,Вилла Парк,Бирмингем,1,3
Арсенал,Вест,26.12.2022,Эмирейтс - Эшбертон Гроув,Лондон,3,1
Челси,Борнмут,27.12.2022,Стэмфорд Бридж,Лондон,2,0
Манчестер,Юнайтед,27.12.2022,Олд Траффорд,Манчестер,3,0
Лидс,Юнайтед,28.12.2022,Элланд Роуд,Лидс,1,3
Вест,Хэм,30.12.2022,Олимпийский,Лондон,0,2
Ливерпуль,Лестер,30.12.2022,Энфилд,Ливерпуль,2,1
Вулверхэмптон,Манчестер,31.12.2022,Молине,Вулверхэмптон,0,1
Борнмут,Кристал,31.12.2022,Виталити - Дин Корт,Борнмут,0,2
Фулхэм,Саутгемптон,31.12.2022,Крэйвен Коттедж,Лондон,2,1
Манчестер,Сити,31.12.2022,Этихад (Сити оф Манчестер),Манчестер,1,1
Ньюкасл,Юнайтед,31.12.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,0,0
Брайтон,Хоув,31.12.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,2,4
Тоттенхэм,Хотспур,01.01.2023,Тоттенхэм Хотспур,Лондон,0,2
Ноттингем,Форест,01.01.2023,Сити Граунд,Ноттингем,1,1
Брентфорд,Ливерпуль,02.01.2023,Брентфорд Коммьюнити,Брентфорд,3,1
Арсенал,Ньюкасл,03.01.2023,Эмирейтс - Эшбертон Гроув,Лондон,0,0
Эвертон,Брайтон,03.01.2023,Гудисон Парк,Ливерпуль,1,4
Лестер,Сити,03.01.2023,Кинг Пауэр,Лестер,0,1
Манчестер,Юнайтед,03.01.2023,Олд Траффорд,Манчестер,3,0
Саутгемптон,Ноттингем,04.01.2023,Сент-Мэри,Саутгемптон,0,1
Лидс,Юнайтед,04.01.2023,Элланд Роуд,Лидс,2,2
Астон,Вилла,04.01.2023,Вилла Парк,Бирмингем,1,1
Кристал,Пэлас,04.01.2023,Селхерст Парк,Лондон,0,4
Челси,Манчестер,05.01.2023,Стэмфорд Бридж,Лондон,0,1
Фулхэм,Челси,12.01.2023,Крэйвен Коттедж,Лондон,2,1
Астон,Вилла,13.01.2023,Вилла Парк,Бирмингем,2,1
Манчестер,Юнайтед,14.01.2023,Олд Траффорд,Манчестер,2,1
Брайтон,Хоув,14.01.2023,Фалмер - Зе Амекс,Брайтон энд Хоув,3,0
Эвертон,Саутгемптон,14.01.2023,Гудисон Парк,Ливерпуль,1,2
Ноттингем,Форест,14.01.2023,Сити Граунд,Ноттингем,2,0
Вулверхэмптон,Вест,14.01.2023,Молине,Вулверхэмптон,1,0
Брентфорд,Борнмут,14.01.2023,Брентфорд Коммьюнити,Брентфорд,2,0
Челси,Кристал,15.01.2023,Стэмфорд Бридж,Лондон,1,0
Ньюкасл,Юнайтед,15.01.2023,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,1,0
Тоттенхэм,Хотспур,15.01.2023,Тоттенхэм Хотспур,Лондон,0,2
Кристал,Пэлас,18.01.2023,Селхерст Парк,Лондон,1,1
Манчестер,Сити,19.01.2023,Этихад (Сити оф Манчестер),Манчестер,4,2
Ливерпуль,Челси,21.01.2023,Энфилд,Ливерпуль,0,0
Борнмут,Ноттингем,21.01.2023,Виталити - Дин Корт,Борнмут,1,1
Лестер,Сити,21.01.2023,Кинг Пауэр,Лестер,2,2
Саутгемптон,Астон,21.01.2023,Сент-Мэри,Саутгемптон,0,1
Вест,Хэм,21.01.2023,Олимпийский,Лондон,2,0
Кристал,Пэлас,21.01.2023,Селхерст Парк,Лондон,0,0
Лидс,Юнайтед,22.01.2023,Элланд Роуд,Лидс,0,0
Манчестер,Сити,22.01.2023,Этихад (Сити оф Манчестер),Манчестер,3,0
Арсенал,Манчестер,22.01.2023,Эмирейтс - Эшбертон Гроув,Лондон,3,2
Фулхэм,Тоттенхэм,23.01.2023,Крэйвен Коттедж,Лондон,0,1
Челси,Фулхэм,03.02.2023,Стэмфорд Бридж,Лондон,0,0
Эвертон,Арсенал,04.02.2023,Гудисон Парк,Ливерпуль,1,0
Астон,Вилла,04.02.2023,Вилла Парк,Бирмингем,2,4
Брентфорд,Саутгемптон,04.02.2023,Брентфорд Коммьюнити,Брентфорд,3,0
Брайтон,Хоув,04.02.2023,Фалмер - Зе Амекс,Брайтон энд Хоув,1,0
Манчестер,Юнайтед,04.02.2023,Олд Траффорд,Манчестер,2,1
Вулверхэмптон,Ливерпуль,04.02.2023,Молине,Вулверхэмптон,3,0
Ньюкасл,Юнайтед,04.02.2023,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,1,1
Ноттингем,Форест,05.02.2023,Сити Граунд,Ноттингем,1,0
Тоттенхэм,Хотспур,05.02.2023,Тоттенхэм Хотспур,Лондон,1,0
Манчестер,Юнайтед,08.02.2023,Олд Траффорд,Манчестер,2,2
Вест,Хэм,11.02.2023,Олимпийский,Лондон,1,1
Арсенал,Брентфорд,11.02.2023,Эмирейтс - Эшбертон Гроув,Лондон,1,1
Кристал,Пэлас,11.02.2023,Селхерст Парк,Лондон,1,1
Фулхэм,Ноттингем,11.02.2023,Крэйвен Коттедж,Лондон,2,0
Лестер,Сити,11.02.2023,Кинг Пауэр,Лестер,4,1
Саутгемптон,Вулверхэмптон,11.02.2023,Сент-Мэри,Саутгемптон,1,2
Борнмут,Ньюкасл,11.02.2023,Виталити - Дин Корт,Борнмут,1,1
Лидс,Юнайтед,12.02.2023,Элланд Роуд,Лидс,0,2
Манчестер,Сити,12.02.2023,Этихад (Сити оф Манчестер),Манчестер,3,1
Ливерпуль,Эвертон,13.02.2023,Энфилд,Ливерпуль,2,0
Арсенал,Манчестер,15.02.2023,Эмирейтс - Эшбертон Гроув,Лондон,1,3
Астон,Вилла,18.02.2023,Вилла Парк,Бирмингем,2,4
Брентфорд,Кристал,18.02.2023,Брентфорд Коммьюнити,Брентфорд,1,1
Брайтон,Хоув,18.02.2023,Фалмер - Зе Амекс,Брайтон энд Хоув,0,1
Челси,Саутгемптон,18.02.2023,Стэмфорд Бридж,Лондон,0,1
Эвертон,Лидс,18.02.2023,Гудисон Парк,Ливерпуль,1,0
Ноттингем,Форест,18.02.2023,Сити Граунд,Ноттингем,1,1
Вулверхэмптон,Борнмут,18.02.2023,Молине,Вулверхэмптон,0,1
Ньюкасл,Юнайтед,18.02.2023,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,0,2
Манчестер,Юнайтед,19.02.2023,Олд Траффорд,Манчестер,3,0
Тоттенхэм,Хотспур,19.02.2023,Тоттенхэм Хотспур,Лондон,2,0
Фулхэм,Вулверхэмптон,24.02.2023,Крэйвен Коттедж,Лондон,1,1
Эвертон,Астон,25.02.2023,Гудисон Парк,Ливерпуль,0,2
Лидс,Юнайтед,25.02.2023,Элланд Роуд,Лидс,1,0
Лестер,Сити,25.02.2023,Кинг Пауэр,Лестер,0,1
Вест,Хэм,25.02.2023,Олимпийский,Лондон,4,0
Борнмут,Манчестер,25.02.2023,Виталити - Дин Корт,Борнмут,1,4
Кристал,Пэлас,25.02.2023,Селхерст Парк,Лондон,0,0
Тоттенхэм,Хотспур,26.02.2023,Тоттенхэм Хотспур,Лондон,2,0
Арсенал,Эвертон,01.03.2023,Эмирейтс - Эшбертон Гроув,Лондон,4,0
Ливерпуль,Вулверхэмптон,01.03.2023,Энфилд,Ливерпуль,2,0
Манчестер,Сити,04.03.2023,Этихад (Сити оф Манчестер),Манчестер,2,0
Арсенал,Борнмут,04.03.2023,Эмирейтс - Эшбертон Гроув,Лондон,3,2
Астон,Вилла,04.03.2023,Вилла Парк,Бирмингем,1,0
Брайтон,Хоув,04.03.2023,Фалмер - Зе Амекс,Брайтон энд Хоув,4,0
Челси,Лидс,04.03.2023,Стэмфорд Бридж,Лондон,1,0
Вулверхэмптон,Тоттенхэм,04.03.2023,Молине,Вулверхэмптон,1,0
Саутгемптон,Лестер,04.03.2023,Сент-Мэри,Саутгемптон,1,0
Ноттингем,Форест,05.03.2023,Сити Граунд,Ноттингем,2,2
