Домашняя команда,Гостевая команда,Дата,Стадион,Город,home_score,guest_score
Ливерпуль,Манчестер,05.03.2023,Энфилд,Ливерпуль,7,0
Брентфорд,Фулхэм,06.03.2023,Брентфорд Коммьюнити,Брентфорд,3,2
Борнмут,Ливерпуль,11.03.2023,Виталити - Дин Корт,Борнмут,1,0
Эвертон,Брентфорд,11.03.2023,Гудисон Парк,Ливерпуль,1,0
Лидс,Юнайтед,11.03.2023,Элланд Роуд,Лидс,2,2
Лестер,Сити,11.03.2023,Кинг Пауэр,Лестер,1,3
Тоттенхэм,Хотспур,11.03.2023,Тоттенхэм Хотспур,Лондон,3,1
Кристал,Пэлас,11.03.2023,Селхерст Парк,Лондон,0,1
Фулхэм,Арсенал,12.03.2023,Крэйвен Коттедж,Лондон,0,3
Манчестер,Юнайтед,12.03.2023,Олд Траффорд,Манчестер,0,0
Вест,Хэм,12.03.2023,Олимпийский,Лондон,1,1
Ньюкасл,Юнайтед,12.03.2023,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,2,1
Саутгемптон,Брентфорд,15.03.2023,Сент-Мэри,Саутгемптон,0,2
Брайтон,Хоув,15.03.2023,Фалмер - Зе Амекс,Брайтон энд Хоув,1,0
Ноттингем,Форест,17.03.2023,Сити Граунд,Ноттингем,1,2
Астон,Вилла,18.03.2023,Вилла Парк,Бирмингем,3,0
Брентфорд,Лестер,18.03.2023,Брентфорд Коммьюнити,Брентфорд,1,1
Саутгемптон,Тоттенхэм,18.03.2023,Сент-Мэри,Саутгемптон,3,3
Вулверхэмптон,Лидс,18.03.2023,Молине,Вулверхэмптон,2,4
Челси,Эвертон,18.03.2023,Стэмфорд Бридж,Лондон,2,2
Арсенал,Кристал,19.03.2023,Эмирейтс - Эшбертон Гроув,Лондон,4,1
Манчестер,Сити,01.04.2023,Этихад (Сити оф Манчестер),Манчестер,4,1
Борнмут,Фулхэм,01.04.2023,Виталити - Дин Корт,Борнмут,2,1
Арсенал,Лидс,01.04.2023,Эмирейтс - Эшбертон Гроув,Лондон,4,1
Брайтон,Хоув,01.04.2023,Фалмер - Зе Амекс,Брайтон энд Хоув,3,3
Кристал,Пэлас,01.04.2023,Селхерст Парк,Лондон,2,1
Ноттингем,Форест,01.04.2023,Сити Граунд,Ноттингем,1,1
Челси,Астон,01.04.2023,Стэмфорд Бридж,Лондон,0,2
Вест,Хэм,02.04.2023,Олимпийский,Лондон,1,0
Ньюкасл,Юнайтед,02.04.2023,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,2,0
Эвертон,Тоттенхэм,03.04.2023,Гудисон Парк,Ливерпуль,1,1
Борнмут,Брайтон,04.04.2023,Виталити - Дин Корт,Борнмут,0,2
Лидс,Юнайтед,04.04.2023,Элланд Роуд,Лидс,2,1
Лестер,Сити,04.04.2023,Кинг Пауэр,Лестер,1,2
Челси,Ливерпуль,04.04.2023,Стэмфорд Бридж,Лондон,0,0
Вест,Хэм,05.04.2023,Олимпийский,Лондон,1,5
Манчестер,Юнайтед,05.04.2023,Олд Траффорд,Манчестер,1,0
Манчестер,Юнайтед,08.04.2023,Олд Траффорд,Манчестер,2,0
Астон,Вилла,08.04.2023,Вилла Парк,Бирмингем,2,0
Брентфорд,Ньюкасл,08.04.2023,Брентфорд Коммьюнити,Брентфорд,1,2
Фулхэм,Вест,08.04.2023,Крэйвен Коттедж,Лондон,0,1
Лестер,Сити,08.04.2023,Кинг Пауэр,Лестер,0,1
Тоттенхэм,Хотспур,08.04.2023,Тоттенхэм Хотспур,Лондон,2,1
Вулверхэмптон,Челси,08.04.2023,Молине,Вулверхэмптон,1,0
Саутгемптон,Манчестер,08.04.2023,Сент-Мэри,Саутгемптон,1,4
Лидс,Юнайтед,09.04.2023,Элланд Роуд,Лидс,1,5
Ливерпуль,Арсенал,09.04.2023,Энфилд,Ливерпуль,2,2
Астон,Вилла,15.04.2023,Вилла Парк,Бирмингем,3,0
Челси,Брайтон,15.04.2023,Стэмфорд Бридж,Лондон,1,2
Эвертон,Фулхэм,15.04.2023,Гудисон Парк,Ливерпуль,1,3
Саутгемптон,Кристал,15.04.2023,Сент-Мэри,Саутгемптон,0,2
Вулверхэмптон,Брентфорд,15.04.2023,Молине,Вулверхэмптон,2,0
Тоттенхэм,Хотспур,15.04.2023,Тоттенхэм Хотспур,Лондон,2,3
Манчестер,Сити,15.04.2023,Этихад (Сити оф Манчестер),Манчестер,3,1
Вест,Хэм,16.04.2023,Олимпийский,Лондон,2,2
Ноттингем,Форест,16.04.2023,Сити Граунд,Ноттингем,0,2
Лидс,Юнайтед,17.04.2023,Элланд Роуд,Лидс,1,6
Арсенал,Саутгемптон,21.04.2023,Эмирейтс - Эшбертон Гроув,Лондон,3,3
Фулхэм,Лидс,22.04.2023,Крэйвен Коттедж,Лондон,2,1
Брентфорд,Астон,22.04.2023,Брентфорд Коммьюнити,Брентфорд,1,1
Кристал,Пэлас,22.04.2023,Селхерст Парк,Лондон,0,0
Лестер,Сити,22.04.2023,Кинг Пауэр,Лестер,2,1
Ливерпуль,Ноттингем,22.04.2023,Энфилд,Ливерпуль,3,2
Борнмут,Вест,23.04.2023,Виталити - Дин Корт,Борнмут,0,4
Ньюкасл,Юнайтед,23.04.2023,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,6,1
Вулверхэмптон,Кристал,25.04.2023,Молине,Вулверхэмптон,2,0
Астон,Вилла,25.04.2023,Вилла Парк,Бирмингем,1,0
Лидс,Юнайтед,25.04.2023,Элланд Роуд,Лидс,1,1
Ноттингем,Форест,26.04.2023,Сити Граунд,Ноттингем,3,1
Вест,Хэм,26.04.2023,Олимпийский,Лондон,1,2
Челси,Брентфорд,26.04.2023,Стэмфорд Бридж,Лондон,0,2
Манчестер,Сити,26.04.2023,Этихад (Сити оф Манчестер),Манчестер,4,1
Эвертон,Ньюкасл,27.04.2023,Гудисон Парк,Ливерпуль,1,4
Саутгемптон,Борнмут,27.04.2023,Сент-Мэри,Саутгемптон,0,1
Тоттенхэм,Хотспур,27.04.2023,Тоттенхэм Хотспур,Лондон,2,2
Кристал,Пэлас,29.04.2023,Селхерст Парк,Лондон,4,3
Брентфорд,Ноттингем,29.04.2023,Брентфорд Коммьюнити,Брентфорд,2,1
Брайтон,Хоув,29.04.2023,Фалмер - Зе Амекс,Брайтон энд Хоув,6,0
Борнмут,Лидс,30.04.2023,Виталити - Дин Корт,Борнмут,4,1
Фулхэм,Манчестер,30.04.2023,Крэйвен Коттедж,Лондон,1,2
Манчестер,Юнайтед,30.04.2023,Олд Траффорд,Манчестер,1,0
Ньюкасл,Юнайтед,30.04.2023,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,3,1
Ливерпуль,Тоттенхэм,30.04.2023,Энфилд,Ливерпуль,4,3
Лестер,Сити,01.05.2023,Кинг Пауэр,Лестер,2,2
Арсенал,Челси,02.05.2023,Эмирейтс - Эшбертон Гроув,Лондон,3,1
Ливерпуль,Фулхэм,03.05.2023,Энфилд,Ливерпуль,1,0
Манчестер,Сити,03.05.2023,Этихад (Сити оф Манчестер),Манчестер,3,0
Брайтон,Хоув,04.05.2023,Фалмер - Зе Амекс,Брайтон энд Хоув,1,0
Борнмут,Челси,06.05.2023,Виталити - Дин Корт,Борнмут,1,3
Манчестер,Сити,06.05.2023,Этихад (Сити оф Манчестер),Манчестер,2,1
Тоттенхэм,Хотспур,06.05.2023,Тоттенхэм Хотспур,Лондон,1,0
Вулверхэмптон,Астон,06.05.2023,Молине,Вулверхэмптон,1,0
Ливерпуль,Брентфорд,06.05.2023,Энфилд,Ливерпуль,1,0
Ньюкасл,Юнайтед,07.05.2023,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,0,2
Вест,Хэм,07.05.2023,Олимпийский,Лондон,1,0
Фулхэм,Лестер,08.05.2023,Крэйвен Коттедж,Лондон,5,3
Брайтон,Хоув,08.05.2023,Фалмер - Зе Амекс,Брайтон энд Хоув,1,5
Ноттингем,Форест,08.05.2023,Сити Граунд,Ноттингем,4,3
Лидс,Юнайтед,13.05.2023,Элланд Роуд,Лидс,2,2
Астон,Вилла,13.05.2023,Вилла Парк,Бирмингем,2,1
Челси,Ноттингем,13.05.2023,Стэмфорд Бридж,Лондон,2,2
Кристал,Пэлас,13.05.2023,Селхерст Парк,Лондон,2,0
Манчестер,Юнайтед,13.05.2023,Олд Траффорд,Манчестер,2,0
Саутгемптон,Фулхэм,13.05.2023,Сент-Мэри,Саутгемптон,0,2
Брентфорд,Вест,14.05.2023,Брентфорд Коммьюнити,Брентфорд,2,0
Эвертон,Манчестер,14.05.2023,Гудисон Парк,Ливерпуль,0,3
Арсенал,Брайтон,14.05.2023,Эмирейтс - Эшбертон Гроув,Лондон,0,3
Лестер,Сити,15.05.2023,Кинг Пауэр,Лестер,0,3
Ньюкасл,Юнайтед,18.05.2023,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,4,1
Тоттенхэм,Хотспур,20.05.2023,Тоттенхэм Хотспур,Лондон,1,3
Борнмут,Манчестер,20.05.2023,Виталити - Дин Корт,Борнмут,0,1
Фулхэм,Кристал,20.05.2023,Крэйвен Коттедж,Лондон,2,2
Ливерпуль,Астон,20.05.2023,Энфилд,Ливерпуль,1,1
Вулверхэмптон,Эвертон,20.05.2023,Молине,Вулверхэмптон,1,1
Ноттингем,Форест,20.05.2023,Сити Граунд,Ноттингем,1,0
Вест,Хэм,21.05.2023,Олимпийский,Лондон,3,1
Брайтон,Хоув,21.05.2023,Фалмер - Зе Амекс,Брайтон энд Хоув,3,1
Манчестер,Сити,21.05.2023,Этихад (Сити оф Манчестер),Манчестер,1,0
Ньюкасл,Юнайтед,22.05.2023,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,0,0
Брайтон,Хоув,24.05.2023,Фалмер - Зе Амекс,Брайтон энд Хоув,1,1
Манчестер,Юнайтед,25.05.2023,Олд Траффорд,Манчестер,4,1
Арсенал,Вулверхэмптон,28.05.2023,Эмирейтс - Эшбертон Гроув,Лондон,5,0
Астон,Вилла,28.05.2023,Вилла Парк,Бирмингем,2,1
Брентфорд,Манчестер,28.05.2023,Брентфорд Коммьюнити,Брентфорд,1,0
Челси,Ньюкасл,28.05.2023,Стэмфорд Бридж,Лондон,1,1
Кристал,Пэлас,28.05.2023,Селхерст Парк,Лондон,1,1
Эвертон,Борнмут,28.05.2023,Гудисон Парк,Ливерпуль,1,0
Лидс,Юнайтед,28.05.2023,Элланд Роуд,Лидс,1,4
Лестер,Сити,28.05.2023,Кинг Пауэр,Лестер,2,1
Манчестер,Юнайтед,28.05.2023,Олд Траффорд,Манчестер,2,1
Саутгемптон,Ливерпуль,28.05.2023,Сент-Мэри,Саутгемптон,4,4
Брентфорд,Арсенал,13.08.2021,Брентфорд Коммьюнити,Брентфорд,2,0
Манчестер,Юнайтед,14.08.2021,Олд Траффорд,Манчестер,5,1
Уотфорд,Астон,14.08.2021,Викарэйдж Роуд,Уотфорд,3,2
Лестер,Сити,14.08.2021,Кинг Пауэр,Лестер,1,0
Эвертон,Саутгемптон,14.08.2021,Гудисон Парк,Ливерпуль,3,1
Брайтон,Хоув,14.08.2021,Тёрф Мур,Бернли,1,2
Челси,Кристал,14.08.2021,Стэмфорд Бридж,Лондон,3,0
Норвич,Сити,14.08.2021,Кэрроу Роуд,Норидж,0,3
Ньюкасл,Юнайтед,15.08.2021,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,2,4
Тоттенхэм,Хотспур,15.08.2021,Тоттенхэм Хотспур,Лондон,1,0
Ливерпуль,Англия,21.08.2021,Энфилд,Ливерпуль,2,0
Манчестер,Сити,21.08.2021,Этихад (Сити оф Манчестер),Манчестер,5,0
Астон,Вилла,21.08.2021,Вилла Парк,Бирмингем,2,0
Кристал,Пэлас,21.08.2021,Селхерст Парк,Лондон,0,0
Лидс,Юнайтед,21.08.2021,Элланд Роуд,Лидс,2,2
Брайтон,Хоув,21.08.2021,Фалмер - Зе Амекс,Брайтон энд Хоув,2,0
Вулверхэмптон,Тоттенхэм,22.08.2021,Молине,Вулверхэмптон,0,1
Саутгемптон,Манчестер,22.08.2021,Сент-Мэри,Саутгемптон,1,1
Арсенал,Челси,22.08.2021,Эмирейтс - Эшбертон Гроув,Лондон,0,2
Вест,Хэм,23.08.2021,Олимпийский,Лондон,4,1
Манчестер,Сити,28.08.2021,Этихад (Сити оф Манчестер),Манчестер,5,0
Вест,Хэм,28.08.2021,Олимпийский,Лондон,2,2
Ньюкасл,Юнайтед,28.08.2021,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,2,2
Брайтон,Хоув,28.08.2021,Фалмер - Зе Амекс,Брайтон энд Хоув,0,2
Норвич,Сити,28.08.2021,Кэрроу Роуд,Норидж,1,2
Астон,Вилла,28.08.2021,Вилла Парк,Бирмингем,1,1
Ливерпуль,Челси,28.08.2021,Энфилд,Ливерпуль,1,1
Тоттенхэм,Хотспур,29.08.2021,Тоттенхэм Хотспур,Лондон,1,0
Лидс,Юнайтед,29.08.2021,Тёрф Мур,Бернли,1,1
Вулверхэмптон,Манчестер,29.08.2021,Молине,Вулверхэмптон,0,1
Кристал,Пэлас,11.09.2021,Селхерст Парк,Лондон,3,0
Уотфорд,Вулверхэмптон,11.09.2021,Викарэйдж Роуд,Уотфорд,0,2
Манчестер,Юнайтед,11.09.2021,Олд Траффорд,Манчестер,4,1
Лестер,Сити,11.09.2021,Кинг Пауэр,Лестер,0,1
Брентфорд,Брайтон,11.09.2021,Брентфорд Коммьюнити,Брентфорд,0,1
Арсенал,Норвич,11.09.2021,Эмирейтс - Эшбертон Гроув,Лондон,1,0
Саутгемптон,Вест,11.09.2021,Сент-Мэри,Саутгемптон,0,0
Челси,Астон,11.09.2021,Стэмфорд Бридж,Лондон,3,0
Лидс,Юнайтед,12.09.2021,Элланд Роуд,Лидс,0,3
Эвертон,Англия,13.09.2021,Гудисон Парк,Ливерпуль,3,1
Ньюкасл,Юнайтед,17.09.2021,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,1,1
Вулверхэмптон,Брентфорд,18.09.2021,Молине,Вулверхэмптон,0,2
Норвич,Сити,18.09.2021,Кэрроу Роуд,Норидж,1,3
Ливерпуль,Кристал,18.09.2021,Энфилд,Ливерпуль,3,0
Арсенал,Англия,18.09.2021,Тёрф Мур,Бернли,0,1
Манчестер,Сити,18.09.2021,Этихад (Сити оф Манчестер),Манчестер,0,0
Астон,Вилла,18.09.2021,Вилла Парк,Бирмингем,3,0
Вест,Хэм,19.09.2021,Олимпийский,Лондон,1,2
Брайтон,Хоув,19.09.2021,Фалмер - Зе Амекс,Брайтон энд Хоув,2,1
Тоттенхэм,Хотспур,19.09.2021,Тоттенхэм Хотспур,Лондон,0,3
Манчестер,Юнайтед,25.09.2021,Олд Траффорд,Манчестер,0,1
Челси,Манчестер,25.09.2021,Стэмфорд Бридж,Лондон,0,1
Уотфорд,Ньюкасл,25.09.2021,Викарэйдж Роуд,Уотфорд,1,1
Эвертон,Норвич,25.09.2021,Гудисон Парк,Ливерпуль,2,0
Лидс,Юнайтед,25.09.2021,Элланд Роуд,Лидс,1,2
Лестер,Сити,25.09.2021,Кинг Пауэр,Лестер,2,2
Брентфорд,Ливерпуль,25.09.2021,Брентфорд Коммьюнити,Брентфорд,3,3
Саутгемптон,Вулверхэмптон,26.09.2021,Сент-Мэри,Саутгемптон,0,1
Арсенал,Тоттенхэм,26.09.2021,Эмирейтс - Эшбертон Гроув,Лондон,3,1
Кристал,Пэлас,27.09.2021,Селхерст Парк,Лондон,1,1
Манчестер,Юнайтед,02.10.2021,Олд Траффорд,Манчестер,1,1
Вулверхэмптон,Ньюкасл,02.10.2021,Молине,Вулверхэмптон,2,1
Лидс,Юнайтед,02.10.2021,Элланд Роуд,Лидс,1,0
Норвич,Сити,02.10.2021,Тёрф Мур,Бернли,0,0
Челси,Саутгемптон,02.10.2021,Стэмфорд Бридж,Лондон,3,1
Брайтон,Хоув,02.10.2021,Фалмер - Зе Амекс,Брайтон энд Хоув,0,0
Кристал,Пэлас,03.10.2021,Селхерст Парк,Лондон,2,2
Вест,Хэм,03.10.2021,Олимпийский,Лондон,1,2
Тоттенхэм,Хотспур,03.10.2021,Тоттенхэм Хотспур,Лондон,2,1
Ливерпуль,Манчестер,03.10.2021,Энфилд,Ливерпуль,2,2
Уотфорд,Ливерпуль,16.10.2021,Викарэйдж Роуд,Уотфорд,0,5
Норвич,Сити,16.10.2021,Кэрроу Роуд,Норидж,0,0
Манчестер,Сити,16.10.2021,Этихад (Сити оф Манчестер),Манчестер,2,0
Саутгемптон,Лидс,16.10.2021,Сент-Мэри,Саутгемптон,1,0
Астон,Вилла,16.10.2021,Вилла Парк,Бирмингем,2,3
Лестер,Сити,16.10.2021,Кинг Пауэр,Лестер,4,2
Брентфорд,Челси,16.10.2021,Брентфорд Коммьюнити,Брентфорд,0,1
Эвертон,Вест,17.10.2021,Гудисон Парк,Ливерпуль,0,1
Ньюкасл,Юнайтед,17.10.2021,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,2,3
Арсенал,Кристал,18.10.2021,Эмирейтс - Эшбертон Гроув,Лондон,2,2
Арсенал,Астон,22.10.2021,Эмирейтс - Эшбертон Гроув,Лондон,3,1
Челси,Норвич,23.10.2021,Стэмфорд Бридж,Лондон,7,0
Лидс,Юнайтед,23.10.2021,Элланд Роуд,Лидс,1,1
Кристал,Пэлас,23.10.2021,Селхерст Парк,Лондон,1,1
Эвертон,Уотфорд,23.10.2021,Гудисон Парк,Ливерпуль,2,5
Саутгемптон,Англия,23.10.2021,Сент-Мэри,Саутгемптон,2,2
Брайтон,Хоув,23.10.2021,Фалмер - Зе Амекс,Брайтон энд Хоув,1,4
Брентфорд,Лестер,24.10.2021,Брентфорд Коммьюнити,Брентфорд,1,2
Вест,Хэм,24.10.2021,Олимпийский,Лондон,1,0
Манчестер,Юнайтед,24.10.2021,Олд Траффорд,Манчестер,0,5
Лестер,Сити,30.10.2021,Кинг Пауэр,Лестер,0,2
Манчестер,Сити,30.10.2021,Этихад (Сити оф Манчестер),Манчестер,0,2
Ливерпуль,Брайтон,30.10.2021,Энфилд,Ливерпуль,2,2
Уотфорд,Саутгемптон,30.10.2021,Викарэйдж Роуд,Уотфорд,0,1
Ньюкасл,Юнайтед,30.10.2021,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,0,3
Брентфорд,Англия,30.10.2021,Тёрф Мур,Бернли,3,1
Тоттенхэм,Хотспур,30.10.2021,Тоттенхэм Хотспур,Лондон,0,3
Норвич,Сити,31.10.2021,Кэрроу Роуд,Норидж,1,2
Астон,Вилла,31.10.2021,Вилла Парк,Бирмингем,1,4
Вулверхэмптон,Эвертон,01.11.2021,Молине,Вулверхэмптон,2,1
Саутгемптон,Астон,05.11.2021,Сент-Мэри,Саутгемптон,1,0
Манчестер,Юнайтед,06.11.2021,Олд Траффорд,Манчестер,0,2
Челси,Англия,06.11.2021,Стэмфорд Бридж,Лондон,1,1
Кристал,Пэлас,06.11.2021,Селхерст Парк,Лондон,2,0
Брентфорд,Норвич,06.11.2021,Брентфорд Коммьюнити,Брентфорд,1,2
Брайтон,Хоув,06.11.2021,Фалмер - Зе Амекс,Брайтон энд Хоув,1,1
Лидс,Юнайтед,07.11.2021,Элланд Роуд,Лидс,1,1
Эвертон,Тоттенхэм,07.11.2021,Гудисон Парк,Ливерпуль,0,0
Арсенал,Уотфорд,07.11.2021,Эмирейтс - Эшбертон Гроув,Лондон,1,0
Вест,Хэм,07.11.2021,Олимпийский,Лондон,3,2
Лестер,Сити,20.11.2021,Кинг Пауэр,Лестер,0,3
Уотфорд,Манчестер,20.11.2021,Викарэйдж Роуд,Уотфорд,4,1
Вулверхэмптон,Вест,20.11.2021,Молине,Вулверхэмптон,1,0
Ньюкасл,Юнайтед,20.11.2021,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,3,3
Кристал,Пэлас,20.11.2021,Тёрф Мур,Бернли,3,3
Норвич,Сити,20.11.2021,Кэрроу Роуд,Норидж,2,1
Астон,Вилла,20.11.2021,Вилла Парк,Бирмингем,2,0
Ливерпуль,Арсенал,20.11.2021,Энфилд,Ливерпуль,4,0
Манчестер,Сити,21.11.2021,Этихад (Сити оф Манчестер),Манчестер,3,0
Тоттенхэм,Хотспур,21.11.2021,Тоттенхэм Хотспур,Лондон,2,1
Арсенал,Ньюкасл,27.11.2021,Эмирейтс - Эшбертон Гроув,Лондон,2,0
Норвич,Сити,27.11.2021,Кэрроу Роуд,Норидж,0,0
Ливерпуль,Саутгемптон,27.11.2021,Энфилд,Ливерпуль,4,0
